JKCFS8048,26
JKCFM8048,1
JKCFL8048,1
JKCFXL8048,1
JKCFXL8088,5
JKCFL8088,9
JKCFM8088,10
JKCFS8088,10
JKCFS8028,10
JKBBS1297,13
JKCFM8028,12
JKCFL8028,10
JKCFXL8028,5
JKBBL1297,9
JKBBM1297,13
JKCFL1318,6
JKCFXL1318,2
JKCFXL1317,1
JKCFF8616,11
JKCFF1038,2
JK008811,6
JK009741,5
JKGG5718,6
JKBEFT995,3
JKBRFT995,2
JKCFM677,11
JK0Y314,1
JKPP314,2
JKBEF41288,6
JKBBF916,1
JKBRF916,4
JK0GF916,9
JKBBL1058,3
JKBBM1058,5
JKBBS1058,6
JK0GS1058,7
JK0GM1058,3
JK0GL1058,6
JK006211,1
JKDB10287,3
JKCFS6573,1
JK0055077,3
JKBES1995,5
JKDBM1995,1
JKDBS1995,1
JKCFS5205,4
JKCFM5205,8
JKCFL5205,9
JK0RXXL96,1
JK0RXL96,8
JK0RXL1297,1
JK0RL96,7
JK0RM96,2
JKCFXL1323,8
JKCFL1323,6
JKCFM1323,2
JKCFS1323,4
JK0GL1302,9
JK0PS1302,1
JK0PL1302,5
JK0GL1303,2
JKDBS96,3
JK0GM96,1
JK0GL96,5
JK0GXL96,7
JK0GXXL96,5
JKCFL156,7
JKCFS156,6
JKCFM156,3
JKCFXS156,7
JK0016440,4
JKCFXS1217,5
JKCFS1217,5
JKCFM1217,12
JKCFL1217,7
